Using GPU
1
Epoch 230/300 | Loss: 1.2278 | Acc: 50.34%
Epoch 231/300 | Loss: 1.1261 | Acc: 50.40%
Epoch 232/300 | Loss: 1.4243 | Acc: 50.37%
Epoch 233/300 | Loss: 1.2291 | Acc: 50.56%
Epoch 234/300 | Loss: 1.2320 | Acc: 50.92%
Epoch 235/300 | Loss: 1.2511 | Acc: 50.39%
Epoch 236/300 | Loss: 1.2295 | Acc: 50.53%
Epoch 237/300 | Loss: 1.1233 | Acc: 50.29%
Epoch 238/300 | Loss: 1.4912 | Acc: 50.62%
Epoch 239/300 | Loss: 1.1958 | Acc: 50.35%
Epoch 240/300 | Loss: 1.2820 | Acc: 50.52%
Epoch 241/300 | Loss: 1.3125 | Acc: 50.89%
Epoch 242/300 | Loss: 1.2774 | Acc: 50.73%
Epoch 243/300 | Loss: 1.3137 | Acc: 50.96%
Epoch 244/300 | Loss: 1.2597 | Acc: 50.85%
Epoch 245/300 | Loss: 1.2103 | Acc: 50.30%
Epoch 246/300 | Loss: 1.2270 | Acc: 50.45%
Epoch 247/300 | Loss: 1.2735 | Acc: 51.05%
Epoch 248/300 | Loss: 1.3680 | Acc: 51.24%
Epoch 249/300 | Loss: 1.5051 | Acc: 50.62%
Epoch 250/300 | Loss: 1.3273 | Acc: 51.05%
Epoch 251/300 | Loss: 1.3158 | Acc: 50.84%
Epoch 252/300 | Loss: 1.1933 | Acc: 50.79%
Epoch 253/300 | Loss: 1.2827 | Acc: 50.86%
Epoch 254/300 | Loss: 1.0901 | Acc: 50.67%
Epoch 255/300 | Loss: 1.2408 | Acc: 50.84%
Epoch 256/300 | Loss: 1.1411 | Acc: 50.49%
Epoch 257/300 | Loss: 1.4954 | Acc: 50.80%
Epoch 258/300 | Loss: 1.2476 | Acc: 50.77%
Epoch 259/300 | Loss: 1.2984 | Acc: 50.71%
Epoch 260/300 | Loss: 1.4388 | Acc: 50.86%
Epoch 261/300 | Loss: 1.1860 | Acc: 50.78%
Epoch 262/300 | Loss: 1.5523 | Acc: 50.78%
Epoch 263/300 | Loss: 1.2542 | Acc: 51.01%
Epoch 264/300 | Loss: 1.2038 | Acc: 50.58%
Epoch 265/300 | Loss: 1.1924 | Acc: 50.63%
Epoch 266/300 | Loss: 1.2688 | Acc: 50.87%
Epoch 267/300 | Loss: 1.1348 | Acc: 50.92%
Epoch 268/300 | Loss: 1.3209 | Acc: 51.04%
Epoch 269/300 | Loss: 1.3030 | Acc: 50.92%
Epoch 270/300 | Loss: 1.3509 | Acc: 51.04%
Epoch 271/300 | Loss: 1.0722 | Acc: 50.87%
Epoch 272/300 | Loss: 1.4350 | Acc: 51.31%
Epoch 273/300 | Loss: 1.2710 | Acc: 51.07%
Epoch 274/300 | Loss: 1.2647 | Acc: 51.23%
Epoch 275/300 | Loss: 1.1968 | Acc: 51.16%
Epoch 276/300 | Loss: 1.4326 | Acc: 51.22%
Epoch 277/300 | Loss: 1.4320 | Acc: 51.14%
Epoch 278/300 | Loss: 1.2421 | Acc: 50.79%
Epoch 279/300 | Loss: 1.4462 | Acc: 50.90%
Epoch 280/300 | Loss: 1.1650 | Acc: 51.02%
Epoch 281/300 | Loss: 1.1857 | Acc: 50.91%
Epoch 282/300 | Loss: 1.2607 | Acc: 51.07%
Epoch 283/300 | Loss: 1.1970 | Acc: 51.01%
Epoch 284/300 | Loss: 1.1479 | Acc: 51.12%
Epoch 285/300 | Loss: 1.2942 | Acc: 51.01%
Epoch 286/300 | Loss: 1.4011 | Acc: 51.12%
Epoch 287/300 | Loss: 1.2568 | Acc: 51.22%
Epoch 288/300 | Loss: 1.2390 | Acc: 51.16%
Epoch 289/300 | Loss: 1.3158 | Acc: 51.18%
Epoch 290/300 | Loss: 1.1364 | Acc: 51.11%
Epoch 291/300 | Loss: 1.3178 | Acc: 51.17%
Epoch 292/300 | Loss: 1.2243 | Acc: 51.16%
Epoch 293/300 | Loss: 1.2464 | Acc: 51.08%
Epoch 294/300 | Loss: 1.2216 | Acc: 51.10%
Epoch 295/300 | Loss: 1.2518 | Acc: 51.10%
Epoch 296/300 | Loss: 1.3556 | Acc: 51.14%
Epoch 297/300 | Loss: 1.3794 | Acc: 51.17%
Epoch 298/300 | Loss: 1.3171 | Acc: 51.17%
Epoch 299/300 | Loss: 1.1994 | Acc: 51.16%
Epoch 300/300 | Loss: 1.1125 | Acc: 51.17%
